# 装备交互文件
# 格式: attackerId,defenderId,damage,accuracy
# attackerId: 攻击方装备类型ID
# defenderId: 防守方装备类型ID
# damage: 单发伤害值
# accuracy: 射击精确度 (0-100)

# 坦克(1)攻击其他装备
1,1,15,70
1,2,5,30
1,3,20,75
1,4,25,80
1,5,30,90
1,6,20,85
1,7,50,100
1,8,18,75
1,9,25,80
1,10,15,65
1,11,20,90

# 飞机(2)攻击其他装备
2,1,30,90
2,2,15,60
2,3,25,85
2,4,35,90
2,5,20,70
2,6,30,85
2,7,5,100
2,8,25,85
2,9,20,80
2,10,30,90
2,11,35,85

# 自行火炮(3)攻击其他装备
3,1,25,75
3,2,30,50
3,3,20,70
3,4,15,80
3,5,35,60
3,6,20,75
3,7,40,100
3,8,22,80
3,9,30,70
3,10,18,65
3,11,30,85

# 导弹发射塔(4)攻击其他装备
4,1,30,85
4,2,50,75
4,3,25,80
4,4,20,70
4,5,40,60
4,6,30,80
4,7,10,100
4,8,28,85
4,9,35,75
4,10,22,80
4,11,40,90

# 单兵冲锋枪(5)攻击其他装备
5,1,3,30
5,2,2,20
5,3,5,35
5,4,4,40
5,5,15,90
5,6,8,70
5,7,1,100
5,8,4,35
5,9,10,80
5,10,3,30
5,11,2,60

# 射击塔(6)攻击其他装备
6,1,10,80
6,2,15,60
6,3,12,75
6,4,8,70
6,5,20,95
6,6,15,85
6,7,5,100
6,8,12,80
6,9,18,90
6,10,10,75
6,11,12,85

# 栅栏(7)没有攻击能力，只有防御
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,0,0
7,10,0,0
7,11,0,0

# 装甲车(8)攻击其他装备
8,1,12,65
8,2,8,30
8,3,15,70
8,4,10,75
8,5,25,85
8,6,15,80
8,7,30,100
8,8,14,70
8,9,20,75
8,10,10,60
8,11,15,75

# 重型机枪(9)攻击其他装备
9,1,8,70
9,2,12,45
9,3,10,65
9,4,7,60
9,5,18,95
9,6,12,85
9,7,3,100
9,8,10,75
9,9,15,90
9,10,6,65
9,11,10,85

# 反坦克炮(10)攻击其他装备
10,1,35,85
10,2,15,40
10,3,25,75
10,4,20,70
10,5,10,60
10,6,15,65
10,7,25,100
10,8,30,80
10,9,12,60
10,10,18,70
10,11,30,80

# 指挥部(11)没有攻击能力
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,10,0,0
11,11,0,0 
